Issue key,Summary,Description,Status,Priority,Issue Type,Created,Updated,Assignee,Labels,Components
GNOC-9819,Syniverse Maintenance: optimized switch configuration in Chicago access POP switch.,"From: notification@syniverse.com < notification@syniverse.com > Sent: Sunday, October 12, 2025 11:12 AM Subject: [PT2] Syniverse Interim Planned Maintenance (CN:1077145) IPX Caution: This email originated outside of Semtech. Planned Maintenance : CN:1077145 Customer Impact No impact as traffic will switchover to backup link if a disruption occurs. Impacted Products IPX, Notification ID CN:1077145 Planned Maintenance Source Syniverse Service Impact Service Impact: no Notes Syniverse will deploy optimized switch configuration in Chicago access POP switch. Customers may expect a very short and brief traffic disruption, for which is is expected for traffic to switchover to backup links. Timestamp Notification Date/Time (EST): 20250908 13:00 Start Date/Time (EST): 20251028 02:00 End Date/Time (EST): 20251028 06:00 Expected End Date/Time (EST): 20251028 06:00 Expected Duration 4 hrs, 0 mins Please do not respond to this notification. If you have any questions regarding Syniverse notifications, please email Syniverse Customer Support at customersupport@syniverse.com or call 18008922888 toll free for U.S. or +18132337750 globally. The information contained in this message, including any accompanying documents, is Confidential and is intended for the addressee(s) only. If you have received this message in error or there are any problems, please notify the originator immediately. The unauthorized use, disclosure, copying or altering of this message is strictly forbidden.",Awaiting implementation,P3-Medium,Change,2025-10-12T15:23:41.448+0000,2025-10-12T15:23:44.017+0000,Ed Guigou,,
GNOC-9818,BICS Maintenance: IP routing implementation for new nodes,"From: BICS Planned Maintenance NOREPLY < plannedmaintenance.noreply@bics.com > Sent: Sunday, October 12, 2025 9:58 AM To: Thomas Pascal < tpascal@sierrawireless.com >; Global NOC < globalnoc@sierrawireless.com > Subject: BICS Planned Maintenance [MTT 20254709226] Thu 16 October 2025 Announcement Caution: This email originated outside of Semtech. Planned Maintenance Announcement We would like to inform you about the following Planned Maintenance: Our reference MTT 20254709226 Start time of the event (UTC) Thu 16 October 2025 07:00 End time of the event (UTC) Thu 16 October 2025 10:00 Description of the Planned Maintenance: Dear Valued Customer As part of our continued commitment in providing the best in class services to our valued customers worldwide, BICS will proceed with the following activity: Category : Planned Work Activity : IP routing implementation for new nodes Date/Time GMT: 16/10/2025 07:00 – 16/10/2025 14:00 Service Impact :no impact Communication History: [20251012 13:58 UTC] Announcement Service(s) part of this Planned Maintenance: » Roaming Instant Roaming Instant Roaming 1000292420: Impacted » Roaming OC Roaming OC Roaming 1000305610: Impacted This is a NO REPLY email. In case of any questions don’t hesitate to contact us at customer.care@bics.com . We will perform the required operational checks on your services after this event. Kind regards, BICS Customer Care Tel. +32 2 547 51 51 customer.care@bics.com",Awaiting implementation,P3-Medium,Change,2025-10-12T14:34:47.851+0000,2025-10-12T14:41:08.812+0000,Ed Guigou,,
GNOC-9814,"SHIFT REPORT: Rajan Yadav - Oct 12, 2025","SHIFT REPORT: Rajan Yadav Oct 12, 2025",Completed,P5-Lowest,Incident,2025-10-12T03:13:58.174+0000,2025-10-12T13:01:55.184+0000,Rajan Yadav,,
GNOC-9815,Alert: SC - CARRIER SCS Sigtran Traffic Increase (CSI),"Since 20251012 03:30 UTC, singe customer CARRIERSCS started to show increase of traffic for Sigtran, Diameter, Radius and Vssf. Upon investigating into Kibana, GNOC saw that the some devices were stuck in RNA, others are constantly connecting and dropped off the network, and some were reregistering back on to the network successfully. GNOC checked AV and saw that the customer has been performing a lot provisioning work, hence, GNOC believe the anomaly increase is due to the customer. GNOC will continue to monitor this new pattern. Start time: 20251012 03:30 UTC End time: 20251012 04:00 UTC Duration: 30 min Impacted customers: CARRIER SCS Impacted VPLMNs: Polkomtel Sp. z o.o. Plus, KPN B.V.,Telekom Deutschland GmbH (TMobile), Bouygues Telecom, Orange France, Telefónica Móviles España S.A., Vodafone Italia S.p.A, Telefónica UK Limited, Vodafone España, S.A.U., Telefónica Germany GmbH & Co. oHG Affected services: Sigtran, Diameter, Radius, Vssf Affected Roaming Partner: JT Device Type: Advanced2, Advance Sample ICCID: 8933240100002158589 (Stuck in RNA) , 8933240100001594017 (Constantly connecting and dropping)",Work in progress,P4-Low,Incident,2025-10-12T04:40:44.859+0000,2025-10-12T12:01:17.548+0000,Steven Lee,"Carrier_SCS, MVNO",MVNO Voice
GNOC-9769,"Telia - Software upgrade in CNDB: 11/10,  22.00 CEST --> 12/10, 06.00 CEST","Hi. There will be a major software upgrade in CNDB environment that will require provisioning stop . Time: Start Saturday 11/10, 22.00 CEST > Completed Sunday 12/10, 06.00 CEST Regards/Vänliga Hälsningar Christian Elf Technical Business Specialist | Telia Infra Telia Company +46 70 3364657 christian.elf@teliacompany.com www.teliacompany.com Skepparegatan 3, 851 87 Sundsvall",Completed,P4-Low,Change,2025-10-08T11:41:39.226+0000,2025-10-12T04:41:47.023+0000,Rajan Yadav,,
GNOC-9812,"SHIFT REPORT: Rashied Lataillade - October 11, 2025","SHIFT REPORT: Rashied Lataillade October 11, 2025 Using the SHIFT REPORT ticket to record: a. Health Checks b. “Benign/Brief Spike” investigation information c. Time spent working on projects/other activities",Completed,P5-Lowest,Incident,2025-10-11T13:23:08.994+0000,2025-10-11T23:49:19.037+0000,Rashied Lataillade,,
GNOC-9674,ALERT:  High Memory usage on FWL-FKT-FRT-Node0 Firewall (NSI),"Summary: On 29th September at 15:46 UTC, GNOC received a P3 ALERT related to “High Memory usage on FWLFKTFRTNode0 Firewall”. GNOC opened this ticket & reached out to SME for a fix. SME Hafedh investigated & found that, the misconfiguration on DNS Side is generating hundreds of denied DNS queries per hour , resulting in, Log buffer saturation , Sustained memory elevation , & ACL processing overhead . Hence the System Team, from Juniper needs to rectify the DNS settings to fix the issue. Currently alert has autoclosed, however the memory usage is still high. Current Memory Usage: 79% (baseline: 5657%) . Current Status→ System team needs to correct DNS configuration on 10.62.55.22 ( SME Hafedh will give feedback when he has a confirmation from system team , as per him there is no urgencies, he is monitoring the FWL) There is no ETR received from SME I just emailed SME (Hafedh Essay), requesting any possible ETR he may have from System Team on rectifying DNS configuration. Analysis from SME: Required Action: System team must reconfigure DNS settings on server 10.62.55.22 to use authorized DNS servers: Primary: 10.62.30.100 Secondary: 10.62.30.101 Expected outcome: Memory should return to baseline (5657%) within 24 hours after DNS correction. Next Steps: System team corrects DNS configuration on 10.62.55.22 NOC monitors firewall memory levels If memory remains elevated after 4 hours, secondary investigation required (SNMP polling load or other factors) Current Status 10/10 Just pinged SME via this JSM ticket since the Memory Usage levels have decreased down to 66% as of 1:00 CST/6:00 UTC today, the 10th. Requested confirmation that DNS config was rectified. GNOC Observation: GNOC checked in ZENOSS & observed below percent of memory usage again different days. Before 17th Sept 06:00 UTC – 56% On 17th Sept 12:00 UTC ~ 62% 18th September to 29th September ~ 59% From 29th September 18:00 UTC till date (8th October 07:00 UTC) ~ 79% (Alert is Closed)",Open,P4-Low,Problem,2025-09-29T22:15:46.304+0000,2025-10-11T23:47:13.950+0000,Hafedh Essayeh,firewall,Infrastructure
GNOC-9811,"SHIFT REPORT: Preston Crump Oct 11, 2025","SHIFT REPORT: Preston Crump Oct 11, 2025",Completed,P5-Lowest,Incident,2025-10-11T13:09:19.138+0000,2025-10-11T22:58:41.487+0000,Preston Crump,,
GNOC-9763,"SHIFT REPORT: Steven Lee - Oct 07, 2025",Using the SHIFT REPORT ticket to record: a. Health Checks b. “Benign/Brief Spike” investion information c. Time spent working on projects/other activities,Completed,P5-Lowest,Incident,2025-10-07T22:57:39.677+0000,2025-10-11T22:57:36.500+0000,Steven Lee,,
GNOC-8069,"SHIFT REPORT: Rashied Lataillade - May 9, 2025","SHIFT REPORT: Rashied Lataillade May 9, 2025 Using the SHIFT REPORT ticket to record: a. Health Checks b. “Benign/Brief Spike” investigation information c. Time spent working on projects/other activities",Completed,P5-Lowest,Incident,2025-05-09T13:08:33.295+0000,2025-10-11T13:23:09.994+0000,Rashied Lataillade,,
GNOC-9810,SHIFT REPORT: Yash Jadhav - Oct'11 2025,SHIFT REPORT: Yash Jadhav Oct'11 2025,Completed,P5-Lowest,Incident,2025-10-11T03:18:30.459+0000,2025-10-11T12:56:02.851+0000,yjadhav,,
GNOC-9809,"SHIFT REPORT: Sean Yen - Oct 10, 2025",Using the SHIFT REPORT ticket to record: a. Health Checks b. “Benign/Brief Spike” investigation information c. Time spent working on projects/other activities,Completed,P5-Lowest,Incident,2025-10-10T23:09:02.563+0000,2025-10-11T11:02:23.774+0000,syen,,
GNOC-9807,"SHIFT REPORT: Rashied Lataillade - October 10, 2025","SHIFT REPORT: Rashied Lataillade October 10, 2025 Using the SHIFT REPORT ticket to record: a. Health Checks b. “Benign/Brief Spike” investigation information c. Time spent working on projects/other activities",Completed,P5-Lowest,Incident,2025-10-10T13:39:41.129+0000,2025-10-10T23:02:54.478+0000,Rashied Lataillade,,
GNOC-9806,"SHIFT REPORT: Preston Crump Oct 10, 2025","SHIFT REPORT: Preston Crump Oct 10, 2025",Completed,P5-Lowest,Incident,2025-10-10T13:03:19.732+0000,2025-10-10T23:00:05.198+0000,Preston Crump,,
GNOC-9790,Orange:  GTP Proxy Roaming Sponsor Operation (N° T509181508),"This is an automatically generated message, please do not reply. To reply, kindly click on the following email address: programmes.travaux@orange.com Monday 06/Oct/2025 at 08:29 You MOBIQUITHINGS To GlobalNOC Correspondant MOBIQUITHINGS globalnoc@sierrawireless.com Mourad BENHARKOUS mbenharkous@semtech.com CORRESPONDANT MOBIQUITHINGS mobnoc@sierrawireless.com Stéphane Savonitto Correspondant MOBIQUITHINGS ssavonitto@sierrawireless.com E. Schippers Correspondant MOBIQUITHINGS eschippers@sierrawireless.com Network Data IP Correspondant MOBIQUITHINGS networkdataip@sierrawireless.com NOC SEMTECH Correspondant MobiquiThings GlobalNOC@semtech.com CUSTOMER SUPPORT Correspondant MobiquiThings EMEACustomerSupportTeam@semtech.com Support Technique Correspondant MobiquiThings NamEasttechsupportSWI@semtech.com Us CSC OWF LIMOGES DOUCEAU Frédéric, SM quality assistant Phone: Fax: Email: programmes.travaux@orange.com Operation with Risk N° T509181508 impacting Orange's network Hello, As part of improving the quality of our infrastructures, we need to work on our network soon. Characteristics of the operation Type: Operation with Risk Nature: Mobile France Intervention Cause: Evolution Beginning: Tuesday 28/Oct/2025 at 09:00 (UTC + 01:00 ) End: Tuesday 28/Oct/2025 at 17:00 (UTC + 01:00 ) Duration: Impact: Without disruption Number of impacted services: 1 Comment for operator affected by traffic: Changement sans action nécessaire et sans dégradation ou coupure de service. Zone géographique concernée : France + international Type équipement touché : GTP Proxy Roaming Sponsor Change without necessary action and without degradation or service outage. Geographical area concerned: France + international Type equipment affected: GTP Proxy Roaming Sponsor The services concerned by the operation are listed in the table hereafter. . Thanks for your faithful. Your Orange customer service Table with the critical product No critical product identified Table with the other product Product type ",Awaiting implementation,P3-Medium,Change,2025-10-09T10:11:24.024+0000,2025-10-10T22:39:52.970+0000,yjadhav,"Data, Orange",
GNOC-9773,Alert:Kibana Suspicious SMS activity detected for customer 'Synox': 915.0 SMS sent between 2025-10-08 13:00:00 and 2025-10-08 14:00:00,"GNOC received an alert for Suspicious SMS activity detected for customer 'Synox Oct 8, 2025 10:45 AM and we are investigating. Current Status: No Fraud Found in call trace",Completed,P4-Low,Incident,2025-10-08T15:09:27.216+0000,2025-10-10T19:29:05.212+0000,Preston Crump,"SMS, Synox",
GNOC-9047,SHIFT REPORT: Yash Jadhav - Aug'02 2025,SHIFT REPORT: Yash Jadhav Aug'02 2025,Completed,P5-Lowest,Incident,2025-08-02T03:19:38.814+0000,2025-10-10T19:27:13.539+0000,yjadhav,,
GNOC-9194,SHIFT REPORT:  Lewie Spearman 8 16 2025 (13:00 to 23:00 UTC),"Shift report being created to document health checks, and recognized anomalies and high amount of alerts and other possible issues on 8/16",Completed,P5-Lowest,Incident,2025-08-16T12:58:53.992+0000,2025-10-10T19:26:46.810+0000,Unassigned,,
GNOC-9573,Felix Deployment: Software Release v3.01.1.0097,"This will be for unreleased FELIX version 3.01.1.0097 Continuing maintenance, component & function restoration and platform evolution. Jira Ticket: https://issues.sierrawireless.com/browse/FELIX/fixforversion/112437",Awaiting implementation,P3-Medium,Change,2025-09-18T15:44:29.758+0000,2025-10-10T19:26:17.637+0000,Greg Boxwell,FELIX,IoT Applications (NMRX Verticals)
GNOC-9511,Problem: NUT-FKT-INFRA - Filesystem Whitelists configured for network subnet ALERT,"Since 20250904 03:45 UTC, GNOC received alert regarding to nutfktinfra: Filesystem Whitelists configured for network subnet, GNOC checked in Zenoss observed that there is an issue with Nutanix cluster nutfktinfra. SMEs engaged and working with Nutanix, the vendor. Current Status: Alerts continue to trigger. SMEs engaged Nutanix for analysis. Start Time: 20250904 03:45 UTC End Time: N/A Duration: N/A Also see GNOC9369",Under investigation,P3-Medium,Problem,2025-09-13T16:01:38.734+0000,2025-10-10T18:40:36.883+0000,Christopher Dingman,Nutanix,Infrastructure
GNOC-8829,ALERT IMPROVEMENT REQUEST - MSU CHANGE FOR JT SIGNALING. raising max number to 65 for jtstp2 ,"While we did receive a spate of JT signaling alerts both for STP links and for connection to the DRA on 7/13, Sunday, which led to a GNOC ticket (8812), & did receive 36 P2 alerts over the course of Week 28, coupled to MSU counts for thresholds between 60 to 65. This points to a need to improve the regular MSU count alerts to above the 60 count. either stop notifying us of counts below 75 , or raise it up to 65+ at least? Current max threshold is set at 60 Example alert below f84567a910ba4805a58683b2417e18601752141671173 Event Details... current 61.7666666667 description High Linkset Throughput detected escalationcount 9 how exceeded isarchive true manager 2c8cb0d3a516 max 60 zenoss.device.deviceclass /Server/Linux/Ouroboros zenoss.device.ipaddress 46.23.241.244 zenoss.device.priority 3",Open,P4-Low,Task,2025-07-15T18:14:04.763+0000,2025-10-10T18:39:00.403+0000,Mohamed Amine Elbahi,ALERT_IMPROVEMENT,Monitoring
GNOC-8784,NAM PGW Monitoring improvement,No alert was triggered to reflect an issue with PGW NAM. Some actions are needed : CPU & Memory alerting > DONE PGW metrics & alerting NAM > In Review PGW trap configuration > In Review,Open,P3-Medium,Task,2025-07-10T13:23:32.178+0000,2025-10-10T18:31:54.552+0000,Salim Mourabbi,ALERT_IMPROVEMENT,
GNOC-9808,NAM - Syniverse GRX redundancy project,"CAB is to enable the additional 10 gig fibers we have with Syniverse. This is a fortification of our Syniverse connectivity and gives us much greater redundancy. No MOP has been added as all the work is on the Syniverse side to open traffic; we just need to monitor traffic (PGW sessions, and SS7 links to TMM). No impact is expected but as always we can’t guarantee anything. GNOC should monitor NAM PGW traffic during this migration. should also monitor SS7 links to SMSC in NAM to ensure they remain operational. The CAB is for NAM region only and will not impact traffic to EU PGW / EU SS7 / EU Diameter Links.",Awaiting implementation,P3-Medium,Change,2025-10-10T17:12:59.600+0000,2025-10-10T18:31:12.151+0000,Kevin Wohlrabe,,
GNOC-8798,Alert Improvement: Lower Nutanix Alarm Severity - Protection domain Jumphosts snapshot,"Greetings Monitoring Team, Infrastructure SME, David Adams, confirmed that this Nutanix : Protection domain Jumphosts snapshot ‘1236937’ failed. No entities snapshotted, skipped 1 P1 Alarm needs to be deemed “ Informational .” Please reduce this alarm severity from P1 to P4 or lower. David pointed out that there is some sort of alerting remapping that moves these alert types from P5 to P1 for some reason: Note: This Nutanix service is designed to allow Jumphost redundant availability. If one Jumphost is unavailable, Nutanix allows for the switching of the next available Jumphost.",In review,P3-Medium,Sub-task,2025-07-11T18:17:02.937+0000,2025-10-10T18:29:29.621+0000,Julien Poisson,"ALERT_IMPROVEMENT, Nutanix",
GNOC-9789,Orange:  Firmware Upgrade Operation - Application Servers and SIG infrastructure (N° T509200106),"This is an automatically generated message, please do not reply. To reply, kindly click on the following email address: programmes.travaux@orange.com Monday 06/Oct/2025 at 17:56 You MOBIQUITHINGS To GlobalNOC Correspondant MOBIQUITHINGS globalnoc@sierrawireless.com Mourad BENHARKOUS mbenharkous@semtech.com CORRESPONDANT MOBIQUITHINGS mobnoc@sierrawireless.com E. Schippers Correspondant MOBIQUITHINGS eschippers@sierrawireless.com Network Data IP Correspondant MOBIQUITHINGS networkdataip@sierrawireless.com Stéphane Savonitto Correspondant MOBIQUITHINGS ssavonitto@sierrawireless.com CUSTOMER SUPPORT Correspondant MobiquiThings EMEACustomerSupportTeam@semtech.com NOC SEMTECH Correspondant MobiquiThings GlobalNOC@semtech.com Support Technique Correspondant MobiquiThings NamEasttechsupportSWI@semtech.com Us CSC OWF LIMOGES MAZILLE Laetitia, SM quality assistant Phone: Fax: Email: programmes.travaux@orange.com Operation with Risk N° T509200106 impacting Orange's network Hello, As part of improving the quality of our infrastructures, we need to work on our network soon. Characteristics of the operation Type: Operation with Risk Nature: Mobile France Intervention Cause: Evolution Beginning: Wednesday 29/Oct/2025 at 00:30 (UTC + 01:00 ) End: Wednesday 29/Oct/2025 at 08:00 (UTC + 01:00 ) Duration: Impact: Without disruption Number of impacted services: 1 Comment for operator affected by traffic: Changement sans action nécessaire et sans dégradation ou coupure de service. Zone géographique concernée : France + international Type équipement touché : serveurs applicatif et sig Roaming Sponsor Projet upgrade firmware RRS : Upgrade firmware du serveur applicatif OFR oprrsr4ofrapp01 de la room 4 Upgrade firmware RRS project : Upgarding firmware of application server OFR oprrsr4ofrapp01 in room4 Changement sans action nécessaire et sans dégradation ou coupure de service. Zone géographique concernée : France + international Type équipement touché : serveurs applicatif et sig Roaming S",Awaiting implementation,P3-Medium,Change,2025-10-09T10:08:59.616+0000,2025-10-10T18:08:04.397+0000,yjadhav,"Orange, SIG",
GNOC-7104,Alert Improvement :increase alert priority for VIP customer for KIBANA observability Alert,"Greetings !! In some scenarios, GNOC receives KIBANA observability Alert for different customers for different scenarios. Sometimes the impacted customer name is missing from the alert & it populates as “Others”. It would be really helpful for GNOC if we can have all the impacted customer names in the alert . If we have a VIP customer impacted then the severity of the alert can be changed to P2 & the alert can have the word VIP to have more attention on it from GNOC monitoring perspective. Kindly review the request.",Open,P4-Low,Task,2025-01-28T09:02:38.978+0000,2025-10-10T18:04:33.440+0000,Julien Poisson,"ALERT_IMPROVEMENT, Kibana",Monitoring
